"TIME","GEO","NRG_BAL","INDIC_NRG","Value","Flag and Footnotes"
"2005M02","Greece","Imports","Average price - USD per barrel","43.31",""
"2005M02","Spain","Imports","Volume - thousand barrels","33,883.65",""
"2005M02","Spain","Imports","Average price - USD per barrel","41.03",""
"2005M02","France","Imports","Volume - thousand barrels","53,116.51",""
"2005M02","France","Imports","Average price - USD per barrel","43.85",""
"2005M02","Croatia","Imports","Volume - thousand barrels",":",""
"2005M02","Croatia","Imports","Average price - USD per barrel",":",""
"2005M02","Italy","Imports","Volume - thousand barrels","46,747.19",""
"2005M02","Italy","Imports","Average price - USD per barrel","42.49",""
"2005M02","Cyprus","Imports","Volume - thousand barrels",":",""
"2005M02","Cyprus","Imports","Average price - USD per barrel",":",""
"2005M02","Latvia","Imports","Volume - thousand barrels",":",""
"2005M02","Latvia","Imports","Average price - USD per barrel",":",""
"2005M02","Lithuania","Imports","Volume - thousand barrels","4,461.96",""
"2005M02","Lithuania","Imports","Average price - USD per barrel","39.24",""
"2005M02","Luxembourg","Imports","Volume - thousand barrels",":",""
"2005M02","Luxembourg","Imports","Average price - USD per barrel",":",""
"2005M02","Hungary","Imports","Volume - thousand barrels","3,977.99",""
"2005M02","Hungary","Imports","Average price - USD per barrel","41.09",""
"2005M02","Malta","Imports","Volume - thousand barrels",":",""
"2005M02","Malta","Imports","Average price - USD per barrel",":",""
"2005M02","Netherlands","Imports","Volume - thousand barrels","29,985.00",""
"2005M02","Netherlands","Imports","Average price - USD per barrel","40.19",""
"2005M02","Austria","Imports","Volume - thousand barrels","4,334.00",""
"2005M02","Austria","Imports","Average price - USD per barrel","43.23",""
"2005M02","Poland","Imports","Volume - thousand barrels","10,100.84",""
"2005M02","Poland","Imports","Average price - USD per barrel","40.15",""
"2005M02","Portugal","Imports","Volume - thousand barrels","5,407.37",""
"2005M02","Portugal","Imports","Average price - USD per barrel","41.02",""
"2005M02","Romania","Imports","Volume - thousand barrels","0.00",""
"2005M02","Romania","Imports","Average price - USD per barrel",":","z"
"2005M02","Slovenia","Imports","Volume - thousand barrels",":",""
"2005M02","Slovenia","Imports","Average price - USD per barrel",":",""
"2005M02","Slovakia","Imports","Volume - thousand barrels","3,945.00",""
"2005M02","Slovakia","Imports","Average price - USD per barrel","38.96",""
"2005M02","Finland","Imports","Volume - thousand barrels","7,456.37",""
"2005M02","Finland","Imports","Average price - USD per barrel","41.42",""
"2005M02","Sweden","Imports","Volume - thousand barrels","11,187.00",""
"2005M02","Sweden","Imports","Average price - USD per barrel","42.28",""
"2005M02","Norway","Imports","Volume - thousand barrels",":",""
"2005M02","Norway","Imports","Average price - USD per barrel",":",""
"2005M02","United Kingdom","Imports","Volume - thousand barrels","28,951.29",""
"2005M02","United Kingdom","Imports","Average price - USD per barrel","44.60",""
"2005M02","Montenegro","Imports","Volume - thousand barrels",":",""
"2005M02","Montenegro","Imports","Average price - USD per barrel",":",""
"2005M02","Türkiye","Imports","Volume - thousand barrels",":",""
"2005M02","Türkiye","Imports","Average price - USD per barrel",":",""
"2005M02","Moldova","Imports","Volume - thousand barrels",":",""
"2005M02","Moldova","Imports","Average price - USD per barrel",":",""
"2005M03","European Union - 27 countries (from 2020)","Imports","Volume - thousand barrels",":",""
"2005M03","European Union - 27 countries (from 2020)","Imports","Average price - USD per barrel",":",""
"2005M03","Belgium","Imports","Volume - thousand barrels","23,034.00",""
"2005M03","Belgium","Imports","Average price - USD per barrel","47.93",""
"2005M03","Bulgaria","Imports","Volume - thousand barrels","0.00",""
